replication,seed,final_time,workday_minutes,total_revenue,clients_generated,clients_completed,average_seller_wait,average_repair_wait,average_change_wait,seller_utilization,technician_utilization,specialist_utilization,completed_type_1,completed_type_2,completed_type_3,completed_type_4,revenue_type_1,revenue_type_2,revenue_type_3,revenue_type_4
117,12462,475.42536204080795,480,6700.0,21,21,0.12068728013182166,0.0,0.0,0.1365096435997662,0.31239366243910455,0.06327782930849751,8,7,1,5,0.0,2450.0,500.0,3750.0
118,12463,490.68353450996466,480,7250.0,27,27,0.0,0.0,0.0,0.17384009364164218,0.2243729019749155,0.1299166849708521,14,5,2,6,0.0,1750.0,1000.0,4500.0
119,12464,404.8727500060776,480,7750.0,28,28,0.018346992209393825,0.0,0.0,0.21096750857046478,0.4260506091173932,0.19266737128442338,14,5,3,6,0.0,1750.0,1500.0,4500.0
120,12465,519.0585875646633,480,5450.0,25,25,0.14834139520092549,0.0,0.0,0.13276923815450248,0.2761565035902456,0.08939163202929748,13,7,3,2,0.0,2450.0,1500.0,1500.0
121,12466,485.04089127298505,480,8050.0,30,30,0.0,0.041059949826051254,0.0,0.16628759701138252,0.37516060666825307,0.05723275752648841,12,13,1,4,0.0,4550.0,500.0,3000.0
122,12467,510.3923408514313,480,7600.0,25,25,0.021247316553567545,0.0,0.0,0.15790254668974577,0.21906340240028774,0.0736634565620818,11,6,2,6,0.0,2100.0,1000.0,4500.0
123,12468,498.7537131830177,480,10200.0,26,26,0.0,0.0,0.0,0.1912063891891907,0.2699180012796488,0.05078820505025254,8,7,2,9,0.0,2450.0,1000.0,6750.0
124,12469,478.51497989027246,480,10900.0,31,31,0.19291698518377384,0.0,0.25090813118405747,0.1996785873533918,0.2359842706966667,0.27977144567001705,10,9,5,7,0.0,3150.0,2500.0,5250.0
125,12470,501.8000725220456,480,7500.0,24,24,0.0,0.0,0.2663569441469633,0.14043775261303448,0.20403105612853167,0.1561480557627605,10,5,4,5,0.0,1750.0,2000.0,3750.0
126,12471,486.63235655719967,480,6850.0,22,22,0.2835587219079953,0.3319265937401951,0.0,0.12655962287662972,0.2932718515551466,0.14284894856613828,9,6,2,5,0.0,2100.0,1000.0,3750.0
127,12472,503.0921272460213,480,4950.0,20,20,0.10608536580349437,0.0,0.0,0.10672872153585569,0.2512609209757714,0.06208640261606512,9,7,2,2,0.0,2450.0,1000.0,1500.0
128,12473,509.01878335098047,480,3750.0,22,22,0.0,0.0,0.0,0.12557304767176203,0.23696528614430837,0.0898943713988781,14,5,1,2,0.0,1750.0,500.0,1500.0
129,12474,478.6989014068842,480,4950.0,25,25,0.0,0.0,0.0,0.14539916677704345,0.30679280422923205,0.04506635352701511,14,7,2,2,0.0,2450.0,1000.0,1500.0
130,12475,467.49094786201334,480,7850.0,28,28,0.09874153313580283,0.0,0.0,0.15420226476834095,0.22219909078301264,0.06298221529589422,13,6,4,5,0.0,2100.0,2000.0,3750.0
131,12476,495.63273681895964,480,8250.0,25,25,0.0,0.0,0.0,0.17105731845649194,0.2388976195670807,0.11937933056634314,11,5,1,8,0.0,1750.0,500.0,6000.0
132,12477,471.4640803967508,480,5500.0,18,18,0.10774833487755903,0.0,0.0,0.10288289792119228,0.20693952326288428,0.10923592904165527,7,5,3,3,0.0,1750.0,1500.0,2250.0
133,12478,411.7458463034023,480,6400.0,23,23,0.28394580786313695,0.0,0.0,0.18099852847112052,0.18747052017299506,0.1349712276730954,12,4,1,6,0.0,1400.0,500.0,4500.0
134,12479,510.04308770994624,480,6050.0,23,23,0.20210983400621127,0.0,0.0,0.12733091779007416,0.2280482405011163,0.18258090100367325,12,3,4,4,0.0,1050.0,2000.0,3000.0
135,12480,477.7205415638281,480,4350.0,18,18,0.0,0.0,0.0,0.09836729102324904,0.19889513616275062,0.0,9,6,0,3,0.0,2100.0,0.0,2250.0
136,12481,505.55801413113124,480,12400.0,36,36,0.0,0.0,7.648880202354159,0.2089363568691516,0.25805777403800145,0.11462792340018738,11,14,3,8,0.0,4900.0,1500.0,6000.0
137,12482,461.6703038271232,480,8200.0,26,26,0.046482358166687075,0.0,0.0,0.1603023750697973,0.200190828311837,0.07301905571777893,10,7,4,5,0.0,2450.0,2000.0,3750.0
138,12483,508.30836857898566,480,6400.0,28,28,0.0,0.0,0.0,0.14121471133310007,0.25917715207157466,0.09142692210755503,14,9,2,3,0.0,3150.0,1000.0,2250.0
139,12484,452.88034951027,480,5250.0,16,16,0.23417625360536576,0.0,0.0,0.10892692997058524,0.1771996611463971,0.013271367917337832,6,5,1,4,0.0,1750.0,500.0,3000.0
140,12485,499.477773065755,480,5650.0,25,25,0.0,0.0,0.0,0.13352467233853785,0.26014698251474533,0.06392688714164918,12,9,2,2,0.0,3150.0,1000.0,1500.0
