replication,seed,final_time,workday_minutes,total_revenue,clients_generated,clients_completed,average_seller_wait,average_repair_wait,average_change_wait,seller_utilization,technician_utilization,specialist_utilization,completed_type_1,completed_type_2,completed_type_3,completed_type_4,revenue_type_1,revenue_type_2,revenue_type_3,revenue_type_4
66,12411,477.13617535580426,480,7650.0,22,22,0.4859650608668822,0.0,0.0,0.13566445983973047,0.23008342001830165,0.0013624925139582855,7,9,0,6,0.0,3150.0,0.0,4500.0
67,12412,519.9218803289823,480,7250.0,27,27,0.04816379628296427,0.0,0.0,0.1493699716273394,0.20201747400937983,0.04008931854348427,14,5,2,6,0.0,1750.0,1000.0,4500.0
68,12413,516.7882752434361,480,8350.0,27,27,0.0,0.0,0.0,0.1652272239212372,0.1860304404392009,0.1557528560100254,11,6,5,5,0.0,2100.0,2500.0,3750.0
69,12414,526.4109631383228,480,7800.0,26,26,0.0,0.0,0.0,0.11626356478211025,0.20505370045601173,0.12428733665073581,10,8,4,4,0.0,2800.0,2000.0,3000.0
70,12415,478.835684281728,480,4550.0,20,20,0.027834483710230985,0.0,0.0,0.1224404772330205,0.19666680986819887,0.035732759206782386,12,3,1,4,0.0,1050.0,500.0,3000.0
71,12416,463.34513880072205,480,7950.0,26,26,0.13697464225759368,0.0,1.757204622741483,0.161530583465043,0.23782610072256666,0.12379954711257048,11,7,2,6,0.0,2450.0,1000.0,4500.0
72,12417,472.96096294435114,480,5650.0,15,15,0.0,0.0,0.0,0.10298373027277659,0.13174398123947784,0.023156392542767565,5,4,1,5,0.0,1400.0,500.0,3750.0
73,12418,476.716795526196,480,3550.0,20,20,0.16794996958693176,0.0,0.0,0.11584300899285918,0.21260497246470428,0.008800376076589872,13,3,2,2,0.0,1050.0,1000.0,1500.0
74,12419,477.65503102277836,480,7100.0,22,22,0.21102461636118103,0.0,12.543545226756791,0.13922741533919794,0.16733265907591183,0.18848383890365888,8,6,4,4,0.0,2100.0,2000.0,3000.0
75,12420,541.172983133787,480,5500.0,21,21,0.0,0.0,0.0,0.12673674622118986,0.16503847730451635,0.08128176696397406,10,5,3,3,0.0,1750.0,1500.0,2250.0
76,12421,605.7083183649901,480,7800.0,25,25,0.3248733679422082,0.0,0.0,0.1352915581670147,0.23437149345118996,0.03077695554370734,10,8,1,6,0.0,2800.0,500.0,4500.0
77,12422,494.53484645669124,480,4800.0,20,20,0.012039441977934473,6.04687078403929,0.0,0.12193619626101695,0.3280245459292997,0.19937535149520846,11,3,3,3,0.0,1050.0,1500.0,2250.0
78,12423,496.7579786331364,480,4500.0,19,19,0.0,0.0,0.0,0.10943764949781934,0.16270422400809922,0.004000453535795978,10,5,1,3,0.0,1750.0,500.0,2250.0
79,12424,501.6628309462204,480,5050.0,21,21,0.11559264792617255,0.0,0.0,0.11467225744201485,0.2959856228501555,0.0,10,8,0,3,0.0,2800.0,0.0,2250.0
80,12425,456.6686048239883,480,4150.0,23,23,0.0,0.0,0.0,0.13866223909485498,0.22561110014911223,0.030073376464835586,15,4,1,3,0.0,1400.0,500.0,2250.0
81,12426,496.42533726591785,480,6650.0,24,24,0.0,0.0,9.744495268204872,0.1310040533852168,0.19519119684913452,0.21786934198532312,9,9,4,2,0.0,3150.0,2000.0,1500.0
82,12427,493.51473630334146,480,5450.0,24,24,0.17014409985410714,0.0,0.0,0.12312941532829287,0.2845198706468981,0.1748443612132753,12,7,3,2,0.0,2450.0,1500.0,1500.0
